Ngày đăng,Tên xe,Tên người bán,Địa chỉ,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Mô tả,Link,Website,vehicle_type,Giá_VND
2026-02-28,Xe VinFast VF8 Plus AWD 2023,GF Hoàng Quốc Việt,"14 Hoàng Quốc Việt, Cầu Giấy Hà Nội",2023.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,SUV,Đen,Đen,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"VF8 2022 MÀU ĐEN – XE ĐẸP BẢN PLUS – QUÀ NOEL HẤP DẪN! | Cuối năm săn xe đẹp – đây là chiếc VF8 rất đáng xuống tiền! | VinFast VF8 BẢN FULL màu ĐEN sang trọng, form xe cực đẹp, chạy chuẩn 5 vạn km, chất lượng còn rất mới. | Điểm khiến khách xem là mê: | Màu đen lịch lãm – càng nhìn càng sang | Bản Plus full option | ☀️ Cửa sổ trời rộng thoáng | Ghế da xịn, nội thất sạch – giữ gìn kỹ | Vận hành êm ái, pin khỏe, đi rất sướng | ✓ Cam kết xe đẹp – không đâm va – không ngập nước – bao check hãng | Xe đang trưng bày, xem xe trực tiếp là chốt! | QUÀ NOEL ĐẶC BIỆT: | Cọc xe trong tháng này – TẶNG NGAY QUÀ NOEL GIÁ TRỊ | Áp dụng cho khách thiện chí, số lượng có hạn | Giá bán cực hợp lý – ưu tiên khách chốt nhanh | Xe đẹp – đời cao – option đủ – không có chiếc thứ 2 tương tự | Liên hệ ngay: | Xem xe tại showroom – cọc sớm, nhận quà Noel ngay! | VF8 2023 – xe đẹp – quà Noel – mua là lời!",https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6592486,bonbanh.com,oto_dien,659000000.0
2026-02-28,Xe VinFast VF8 Eco 2026,Vinfast Times City,"Tầng B1, TTTM Vincom Times City - 458 Minh Khai, Vĩnh Tuy, Hai Bà Trưng Hà Nội",2026.0,Xe mới,,Lắp ráp trong nước,SUV,Trắng,Đen,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Vinfast VF8 (VF E35) 2026 | Xe điện mới 100% | Kích thước tổng thể (DxRxC) (mm): 4.750 x 1.900 x 1.660 | Chiều dài cơ sở (mm): 2.950 | - Trang bị: bộ mâm 5 chấu kép kích thước 21 inch bọc trong bộ lốp Pirelli 255/40R21, tay nắm cửa đồng màu thân xe, gương chiếu hậu tích hợp sấy và camera, các thông tin về xe sẽ được hiển thị trên kính lái HUD như: tốc độ, dung lượng pin, các thông tin về xe sẽ được hiển thị trên kính lái HUD như: tốc độ, dung lượng pin, điều hòa tự động 2 vùng với cửa gió điều hòa cho hàng ghế sau, bơm nhiệt, chức năng kiểm soát chất lượng không khí, lọc không khí cabin HEPA 1.0,... | Quý khách vui lòng liên hệ Vinfast - Times City để được tư vấn và nhận giá ưu đãi tốt nhất tháng!",https://bonbanh.com/xe-vinfast-vf8-eco-2026-6544996,bonbanh.com,oto_dien,790000000.0
2026-02-28,Xe VinFast VF8 Plus AWD 2023,GF Hoàng Quốc Việt,"14 Hoàng Quốc Việt, Cầu Giấy Hà Nội",2023.0,Xe đã dùng,"99,000 Km",Lắp ráp trong nước,SUV,Xanh,Nhiều màu,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"VF8 2023 MÀU Xanh– XE ĐẸP BẢN PLUS – QUÀ NOEL HẤP DẪN! | Cuối năm săn xe đẹp – đây là chiếc VF8 rất đáng xuống tiền! | VinFast VF8 BẢN FULL sang trọng, form xe cực đẹp, chạy chuẩn 9,9 vạn km, chất lượng còn mới. | Điểm khiến khách xem là mê: | Màu đen lịch lãm – càng nhìn càng sang | Bản Plus full option | ☀️ Cửa sổ trời rộng thoáng | Ghế da xịn, nội thất sạch – giữ gìn kỹ | Vận hành êm ái, pin khỏe, đi rất sướng | ✓ Cam kết xe đẹp – không đâm va – không ngập nước – bao check hãng | Xe đang trưng bày, xem xe trực tiếp là chốt! | QUÀ NOEL ĐẶC BIỆT: | Cọc xe trong tháng này – TẶNG NGAY QUÀ NOEL GIÁ TRỊ | Áp dụng cho khách thiện chí, số lượng có hạn | Giá bán cực hợp lý – ưu tiên khách chốt nhanh | Xe đẹp – đời cao – option đủ – không có chiếc thứ 2 tương tự | Liên hệ ngay | Xem xe tại showroom – cọc sớm, nhận quà Noel ngay! | VF8 2023 – xe đẹp – quà Noel – mua là lời!",https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6592500,bonbanh.com,oto_dien,599000000.0
2026-02-28,Xe VinFast VF8 Eco AWD 2023,Đức Lộc,"Xuân Phương, Nam Từ Liêm Hà Nội",2023.0,Xe đã dùng,"55,000 Km",Lắp ráp trong nước,SUV,Xám,Đen,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"• Giảm 70 triệu khi đổi xăng sang điện | • Tặng 50 triệu tiền mặt | Miễn phí 1 năm bảo hiểm thân vỏ | Xe đẹp, kiểm định 139 bước VinFast | Cam kết bằng văn bản: | • Không đâm đụng, không ngập nước | • Không bổ máy, không cẩu máy | • Hồ sơ chuẩn – sang tên ngay | • Không phạt nguội | Quyền lợi khi mua xe: | • Bảo hành hãng 10 năm | • Miễn phí định giá – kiểm tra tổng thể xe | • Miễn phí bảo dưỡng cơ bản & thay dầu | • Tư vấn đổi xe – nâng đời | • Hỗ trợ trả góp, kể cả nợ xấu | Liên hệ ngay để xem xe & chốt giá tốt!",https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6556333,bonbanh.com,oto_dien,580000000.0
2026-02-28,Xe VinFast VF5 Plus 2024,Tấn Nhất Tín,Hà Nội Hà Nội Xem gian hàng  ⇨,2024.0,Xe đã dùng,"45,000 Km",Lắp ráp trong nước,SUV,Xám,Đen,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"Hàng mới về | Vf5 Plus mua pin 2024 odo 4,5 vạn | Ae có khách cùng bán nhé!",https://bonbanh.com/xe-vinfast-vf5-plus-2024-6664435,bonbanh.com,oto_dien,399000000.0
2026-02-28,Xe VinFast VF8 Plus AWD 2023,Trần Nhật Thanh,3a quang trung cần Thơ Cần Thơ,2023.0,Xe đã dùng,"9,968 Km",Lắp ráp trong nước,SUV,Đỏ,Đen,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"VF8 S - CATL - Đỏ/Đen - 2024 - odo 9.968km - Giá: 8xx | Xe GF sẵn giao xe toàn quốc | CHỈ CÒN 5 NGÀY - XEM THỬ MIỄN COI LÀ ĐƯỢC | Tháng 12 này, GF Quận 12 lên deal mạnh tay nhất cho VinFast VF8, tổng ưu đãi lên đến 120 triệu cho khách muốn lên đời xe điện. | XE ĐỦ PHIÊN BẢN | - VF8 Eco / Plus / S | - Pin CATL hoặc SDI | - Đời xe từ 2022 - 2024 | - Màu sắc đa dạng: đen, đỏ, trắng, xám, xanh lá, xanh dương | - Odo siêu lướt: chỉ từ vài chục km cho đến vài vạn thôi. | - Giá chỉ từ 6xx | TẠI SAO NÊN CHỐT VF8 ECO LÚC NÀY | - Cuối năm ưu đãi nhiều nhất, ưu đãi + ƯU ĐÃI | - Xe điện vận hành êm – mạnh – tiết kiệm chi phí nhiên liệu cực lớn | - Chế độ bảo hành chính hãng VinFast | COMBO QUÀ TẶNG THÁNG 12: | - Giảm trực tiếp thêm 50 triệu. | - Hoàn 70 triệu khi thu xe xăng lên đời VF8 lướt. | - Miễn phí sạc đến hết 6/2027. | ----",https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6593728,bonbanh.com,oto_dien,790000000.0
2026-02-28,Xe VinFast VF8 Eco AWD 2023,Thanh,3a quang trung hưng phú cái răng cần Thơ Cần Thơ,2023.0,Xe đã dùng,"44,000 Km",Lắp ráp trong nước,SUV,Đen,Đen,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,Vf8 Eco - Đen | Số Vin: 707067 | Odo: 48950 | Tình trạng : Xe đẹp | Xe loại 1 | Liên hệ ngay để xem xe,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6616226,bonbanh.com,oto_dien,699000000.0
2026-02-28,Xe VinFast VF5 Plus 2025,Tran nhat Thanh,3a Quang Trung - Hưng Phú - Cần Thơ Cần Thơ,2025.0,Xe mới,,Lắp ráp trong nước,SUV,Xanh,Đen,5 chỗ,5 cửa,FWD - Dẫn động cầu trước,"ĐỪNG MUA XE VF5 NẾU CHƯA XEM CÁI NÀY! | Tháng 12 này, cơ hội SỞ HỮU xe VinFast với loạt ƯU ĐÃI CHƯA TỪNG CÓ: | Giảm thêm 4% khi xuất hoá đơn đến hết 2025 | Giảm thêm 3% cho Cán bộ, Chiến sĩ – Công an – Quân đội | Hỗ trợ đổi xe xăng sang VinFast: giảm ngay từ 5 đến 100 triệu | Ưu đãi vay ngân hàng: giảm thêm 3% lãi suất trong 3 năm (đến hết 2025) | VinClub đặc quyền: ưu đãi từ 1% – 3% (50% trừ thẳng giá xe – 50% tích điểm) | Miễn phí 100% phí trước bạ đến 28/02/2027 | Giảm thêm 6.5 – 12 triệu đồng khi mua VF3 & VF5 | Miễn 100% lệ phí trước bạ | Miễn phí sạc đến 30/06/2027 | Trả góp đến 90% – duyệt nhanh – nhận xe ngay! | VF3 – VF5 đủ màu – Sẵn xe giao ngay! | Sở hữu VinFast hôm nay – lựa chọn thông minh cho tương lai bền vững!",https://bonbanh.com/xe-vinfast-vf5-plus-2025-6586990,bonbanh.com,oto_dien,495000000.0
2026-02-28,Xe Mercedes Benz EQS 450 Plus 2023,Quốc Huy,Hà Nội Hà Nội,2023.0,Xe mới,,Nhập khẩu,Sedan,Đỏ,Đen,5 chỗ,4 cửa,RFD - Dẫn động cầu sau,"Mẫu xe thuần điện của Mercedes | EQS450 Plus sản xuất 2023, dky 2024, lăn bánh 2.680 mile ~ 4.000km | Màu Đỏ nội thất Đen | Quý Khách quan tâm liên hệ em trực tiếp để trải nghiệm nhé ạ",https://bonbanh.com/xe-mercedes_benz-eqs-450-plus-2023-6682855,bonbanh.com,oto_dien,2939000000.0
2026-02-28,Xe VinFast VF8 Eco AWD 2023,GF Thường Tín,"Số 207 Quán Gánh, Văn Giáp, Thường Tín Hà Nội",2023.0,Xe đã dùng,"47,000 Km",Lắp ráp trong nước,SUV,Trắng,Đen,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian,"KHÔNG MUA LÀ PHÍ! | VF8 ECO 2023 – CHẠY HƠN 4 VẠN – ĐẸP LOẠI 1 – GIÁ CỰC MỀM! | Anh em nào săn xe điện đẹp – zin – chất thì đây là con hàng hiếm gặp! | Sản xuất 2023 | Odo hơn 4 vạn | Nội thất đen giữ như mới | Thân vỏ đẹp chuẩn 99% | Không đâm – không ngập – không lỗi vặt | Giá để chốt nhanh trong ngày! | Xe đẹp – giá tốt – xem là chốt ngay, không nói nhiều! | Gọi ngay trước khi người khác chốt mất!",https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6542640,bonbanh.com,oto_dien,579000000.0
